Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
/home/rawline/forge-pretrain/train.py:162: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if "cuda" in device else None
[mem] rank=0 after model load: 444 MB  (≈ M_params)
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
[rank0]:W0428 22:08:29.664000 24912 site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
step=620 | loss=4.1411 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=18389 (rank tok/s=18389) | 3564ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 35.9m | time left 164.1m
step=630 | loss=4.2172 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=18399 (rank tok/s=18399) | 3562ms/step [fwd=63 bwd=148 opt=146 ms] | elapsed 36.5m | time left 163.5m
step=640 | loss=4.1787 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=18426 (rank tok/s=18426) | 3557ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 37.1m | time left 162.9m
step=650 | loss=4.2172 | lr(muon)=1.94e-02 lr(adam)=2.92e-04 | tok/s=18406 (rank tok/s=18406) | 3561ms/step [fwd=63 bwd=149 opt=146 ms] | elapsed 37.7m | time left 162.3m
step=660 | loss=4.1493 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=18430 (rank tok/s=18430) | 3556ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 38.3m | time left 161.7m
step=670 | loss=4.1389 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=18445 (rank tok/s=18445) | 3553ms/step [fwd=64 bwd=149 opt=145 ms] | elapsed 38.8m | time left 161.2m
step=680 | loss=4.1508 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=18462 (rank tok/s=18462) | 3550ms/step [fwd=63 bwd=149 opt=146 ms] | elapsed 39.4m | time left 160.6m
step=690 | loss=4.1146 | lr(muon)=1.94e-02 lr(adam)=2.90e-04 | tok/s=18646 (rank tok/s=18646) | 3515ms/step [fwd=59 bwd=153 opt=154 ms] | elapsed 40.0m | time left 160.0m
step=700 | loss=4.1506 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=18695 (rank tok/s=18695) | 3505ms/step [fwd=62 bwd=148 opt=144 ms] | elapsed 40.6m | time left 159.4m
step=710 | loss=4.1489 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=18686 (rank tok/s=18686) | 3507ms/step [fwd=63 bwd=147 opt=144 ms] | elapsed 41.2m | time left 158.8m
step=720 | loss=4.1724 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=18462 (rank tok/s=18462) | 3550ms/step [fwd=61 bwd=146 opt=142 ms] | elapsed 41.8m | time left 158.2m
