Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=880 | loss=3.9686 | lr(muon)=1.89e-02 lr(adam)=2.83e-04 | tok/s=7989 | 8203ms/step | elapsed 130.9m | time left 69.1m
step=890 | loss=3.9598 | lr(muon)=1.89e-02 lr(adam)=2.83e-04 | tok/s=6708 | 9769ms/step | elapsed 132.3m | time left 67.7m
step=900 | loss=3.9781 | lr(muon)=1.88e-02 lr(adam)=2.83e-04 | tok/s=7864 | 8334ms/step | elapsed 133.8m | time left 66.2m
step=910 | loss=3.9231 | lr(muon)=1.88e-02 lr(adam)=2.82e-04 | tok/s=7791 | 8412ms/step | elapsed 135.2m | time left 64.8m
step=920 | loss=3.9654 | lr(muon)=1.88e-02 lr(adam)=2.82e-04 | tok/s=8121 | 8070ms/step | elapsed 136.6m | time left 63.4m
step=930 | loss=3.9600 | lr(muon)=1.88e-02 lr(adam)=2.81e-04 | tok/s=7945 | 8249ms/step | elapsed 138.1m | time left 61.9m
step=940 | loss=3.9509 | lr(muon)=1.87e-02 lr(adam)=2.81e-04 | tok/s=7027 | 9327ms/step | elapsed 139.5m | time left 60.5m
step=950 | loss=3.9405 | lr(muon)=1.87e-02 lr(adam)=2.80e-04 | tok/s=8023 | 8169ms/step | elapsed 140.9m | time left 59.1m
step=960 | loss=3.8812 | lr(muon)=1.87e-02 lr(adam)=2.80e-04 | tok/s=6953 | 9426ms/step | elapsed 142.4m | time left 57.6m
step=970 | loss=3.9636 | lr(muon)=1.86e-02 lr(adam)=2.80e-04 | tok/s=8033 | 8159ms/step | elapsed 143.8m | time left 56.2m
step=980 | loss=3.9640 | lr(muon)=1.86e-02 lr(adam)=2.79e-04 | tok/s=7298 | 8979ms/step | elapsed 146.1m | time left 53.9m
step=990 | loss=3.9148 | lr(muon)=1.86e-02 lr(adam)=2.79e-04 | tok/s=7852 | 8346ms/step | elapsed 147.5m | time left 52.5m
step=1000 | loss=3.8339 | lr(muon)=1.85e-02 lr(adam)=2.78e-04 | tok/s=7988 | 8204ms/step | elapsed 148.9m | time left 51.1m
step=1010 | loss=3.8761 | lr(muon)=1.85e-02 lr(adam)=2.78e-04 | tok/s=8239 | 7954ms/step | elapsed 150.4m | time left 49.6m
step=1020 | loss=3.8995 | lr(muon)=1.85e-02 lr(adam)=2.77e-04 | tok/s=8038 | 8154ms/step | elapsed 151.8m | time left 48.2m
step=1030 | loss=3.9008 | lr(muon)=1.84e-02 lr(adam)=2.77e-04 | tok/s=7437 | 8812ms/step | elapsed 153.3m | time left 46.7m
step=1040 | loss=3.8668 | lr(muon)=1.84e-02 lr(adam)=2.76e-04 | tok/s=7468 | 8775ms/step | elapsed 154.7m | time left 45.3m
step=1050 | loss=3.8588 | lr(muon)=1.84e-02 lr(adam)=2.76e-04 | tok/s=7818 | 8383ms/step | elapsed 156.2m | time left 43.8m
step=1060 | loss=3.9512 | lr(muon)=1.83e-02 lr(adam)=2.75e-04 | tok/s=7878 | 8319ms/step | elapsed 157.6m | time left 42.4m
step=1070 | loss=3.8158 | lr(muon)=1.83e-02 lr(adam)=2.75e-04 | tok/s=7797 | 8405ms/step | elapsed 159.1m | time left 40.9m
step=1080 | loss=3.9043 | lr(muon)=1.83e-02 lr(adam)=2.74e-04 | tok/s=7592 | 8633ms/step | elapsed 160.6m | time left 39.4m
step=1090 | loss=3.9125 | lr(muon)=1.82e-02 lr(adam)=2.74e-04 | tok/s=7612 | 8610ms/step | elapsed 162.1m | time left 37.9m
step=1100 | loss=3.9051 | lr(muon)=1.82e-02 lr(adam)=2.73e-04 | tok/s=7047 | 9299ms/step | elapsed 163.6m | time left 36.4m
step=1110 | loss=3.8601 | lr(muon)=1.82e-02 lr(adam)=2.73e-04 | tok/s=7694 | 8518ms/step | elapsed 165.1m | time left 34.9m
step=1120 | loss=3.9167 | lr(muon)=1.81e-02 lr(adam)=2.72e-04 | tok/s=7607 | 8615ms/step | elapsed 166.6m | time left 33.4m
step=1130 | loss=3.8762 | lr(muon)=1.81e-02 lr(adam)=2.72e-04 | tok/s=8151 | 8040ms/step | elapsed 168.0m | time left 32.0m
step=1140 | loss=3.8602 | lr(muon)=1.81e-02 lr(adam)=2.71e-04 | tok/s=8298 | 7897ms/step | elapsed 169.4m | time left 30.6m
step=1150 | loss=3.8524 | lr(muon)=1.80e-02 lr(adam)=2.71e-04 | tok/s=8124 | 8067ms/step | elapsed 170.8m | time left 29.2m
step=1160 | loss=3.7712 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=8260 | 7934ms/step | elapsed 172.2m | time left 27.8m
step=1170 | loss=3.8449 | lr(muon)=1.80e-02 lr(adam)=2.69e-04 | tok/s=8137 | 8054ms/step | elapsed 173.6m | time left 26.4m
step=1180 | loss=3.7784 | lr(muon)=1.79e-02 lr(adam)=2.69e-04 | tok/s=8132 | 8059ms/step | elapsed 175.0m | time left 25.0m
step=1190 | loss=3.7550 | lr(muon)=1.79e-02 lr(adam)=2.68e-04 | tok/s=7934 | 8260ms/step | elapsed 176.4m | time left 23.6m
step=1200 | loss=3.7243 | lr(muon)=1.79e-02 lr(adam)=2.68e-04 | tok/s=8203 | 7989ms/step | elapsed 177.8m | time left 22.2m
step=1210 | loss=3.7411 | lr(muon)=1.78e-02 lr(adam)=2.67e-04 | tok/s=8156 | 8035ms/step | elapsed 179.2m | time left 20.8m
step=1220 | loss=3.8110 | lr(muon)=1.78e-02 lr(adam)=2.67e-04 | tok/s=8266 | 7928ms/step | elapsed 180.6m | time left 19.4m
step=1230 | loss=3.7322 | lr(muon)=1.77e-02 lr(adam)=2.66e-04 | tok/s=8052 | 8139ms/step | elapsed 182.0m | time left 18.0m
step=1240 | loss=3.8240 | lr(muon)=1.77e-02 lr(adam)=2.66e-04 | tok/s=8291 | 7904ms/step | elapsed 183.4m | time left 16.6m
step=1250 | loss=3.7052 | lr(muon)=1.77e-02 lr(adam)=2.65e-04 | tok/s=6917 | 9475ms/step | elapsed 184.8m | time left 15.2m
step=1260 | loss=3.8343 | lr(muon)=1.76e-02 lr(adam)=2.64e-04 | tok/s=8416 | 7788ms/step | elapsed 186.2m | time left 13.8m
step=1270 | loss=3.7541 | lr(muon)=1.76e-02 lr(adam)=2.64e-04 | tok/s=8034 | 8158ms/step | elapsed 187.6m | time left 12.4m
step=1280 | loss=3.7420 | lr(muon)=1.75e-02 lr(adam)=2.63e-04 | tok/s=8058 | 8134ms/step | elapsed 189.0m | time left 11.0m
step=1290 | loss=3.7404 | lr(muon)=1.75e-02 lr(adam)=2.63e-04 | tok/s=7053 | 9292ms/step | elapsed 190.5m | time left 9.5m
step=1300 | loss=3.7238 | lr(muon)=1.75e-02 lr(adam)=2.62e-04 | tok/s=8294 | 7902ms/step | elapsed 191.8m | time left 8.2m
step=1310 | loss=3.7033 | lr(muon)=1.74e-02 lr(adam)=2.61e-04 | tok/s=6972 | 9400ms/step | elapsed 193.3m | time left 6.7m
step=1320 | loss=3.7816 | lr(muon)=1.74e-02 lr(adam)=2.61e-04 | tok/s=8108 | 8083ms/step | elapsed 194.7m | time left 5.3m
step=1330 | loss=3.6587 | lr(muon)=1.73e-02 lr(adam)=2.60e-04 | tok/s=6770 | 9681ms/step | elapsed 196.1m | time left 3.9m
step=1340 | loss=3.7838 | lr(muon)=1.73e-02 lr(adam)=2.60e-04 | tok/s=8151 | 8040ms/step | elapsed 197.5m | time left 2.5m
step=1350 | loss=3.7682 | lr(muon)=1.73e-02 lr(adam)=2.59e-04 | tok/s=6950 | 9430ms/step | elapsed 198.9m | time left 1.1m

[time] 200.1 min elapsed — time limit reached.
[ckpt] saved → checkpoint.pt  (step 1359)
