Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=990 | loss=5.0622 | lr=5.57e-04 | tok/s=572526 | 114ms/step | elapsed 2.6m | time left 7.4m
step=1000 | loss=5.0817 | lr=5.56e-04 | tok/s=483339 | 136ms/step | elapsed 2.6m | time left 7.4m
step=1010 | loss=5.1309 | lr=5.55e-04 | tok/s=454689 | 144ms/step | elapsed 2.7m | time left 7.3m
step=1020 | loss=5.0317 | lr=5.54e-04 | tok/s=516811 | 127ms/step | elapsed 2.7m | time left 7.3m
step=1030 | loss=5.0532 | lr=5.53e-04 | tok/s=518918 | 126ms/step | elapsed 2.7m | time left 7.3m
step=1040 | loss=5.1702 | lr=5.52e-04 | tok/s=479286 | 137ms/step | elapsed 2.7m | time left 7.3m
step=1050 | loss=5.1830 | lr=5.51e-04 | tok/s=433898 | 151ms/step | elapsed 2.7m | time left 7.3m
step=1060 | loss=5.1327 | lr=5.50e-04 | tok/s=407554 | 161ms/step | elapsed 2.8m | time left 7.2m
step=1070 | loss=5.0351 | lr=5.49e-04 | tok/s=498904 | 131ms/step | elapsed 2.8m | time left 7.2m
step=1080 | loss=4.8793 | lr=5.48e-04 | tok/s=516854 | 127ms/step | elapsed 2.8m | time left 7.2m
step=1090 | loss=5.1580 | lr=5.47e-04 | tok/s=453728 | 144ms/step | elapsed 2.8m | time left 7.2m
step=1100 | loss=5.0855 | lr=5.46e-04 | tok/s=464187 | 141ms/step | elapsed 2.9m | time left 7.1m
step=1110 | loss=4.8747 | lr=5.45e-04 | tok/s=531801 | 123ms/step | elapsed 2.9m | time left 7.1m
step=1120 | loss=5.1200 | lr=5.44e-04 | tok/s=525456 | 125ms/step | elapsed 2.9m | time left 7.1m
step=1130 | loss=5.0464 | lr=5.43e-04 | tok/s=568203 | 115ms/step | elapsed 2.9m | time left 7.1m
step=1140 | loss=5.1658 | lr=5.42e-04 | tok/s=475016 | 138ms/step | elapsed 3.0m | time left 7.0m
step=1150 | loss=5.0113 | lr=5.41e-04 | tok/s=506191 | 129ms/step | elapsed 3.0m | time left 7.0m
step=1160 | loss=5.0481 | lr=5.40e-04 | tok/s=508260 | 129ms/step | elapsed 3.0m | time left 7.0m
step=1170 | loss=5.1110 | lr=5.39e-04 | tok/s=487507 | 134ms/step | elapsed 3.0m | time left 7.0m
step=1180 | loss=4.8431 | lr=5.38e-04 | tok/s=506271 | 129ms/step | elapsed 3.0m | time left 7.0m
step=1190 | loss=5.0448 | lr=5.37e-04 | tok/s=496343 | 132ms/step | elapsed 3.1m | time left 6.9m
step=1200 | loss=4.9697 | lr=5.36e-04 | tok/s=488519 | 134ms/step | elapsed 3.1m | time left 6.9m
step=1210 | loss=5.0533 | lr=5.34e-04 | tok/s=483921 | 135ms/step | elapsed 3.1m | time left 6.9m
step=1220 | loss=5.0468 | lr=5.33e-04 | tok/s=422281 | 155ms/step | elapsed 3.1m | time left 6.9m
step=1230 | loss=4.9399 | lr=5.32e-04 | tok/s=481221 | 136ms/step | elapsed 3.2m | time left 6.8m
step=1240 | loss=4.9254 | lr=5.31e-04 | tok/s=510267 | 128ms/step | elapsed 3.2m | time left 6.8m
step=1250 | loss=5.0287 | lr=5.30e-04 | tok/s=495638 | 132ms/step | elapsed 3.2m | time left 6.8m
step=1260 | loss=4.8997 | lr=5.29e-04 | tok/s=512377 | 128ms/step | elapsed 3.2m | time left 6.8m
step=1270 | loss=5.1582 | lr=5.28e-04 | tok/s=439007 | 149ms/step | elapsed 3.2m | time left 6.8m
step=1280 | loss=4.6850 | lr=5.26e-04 | tok/s=437941 | 150ms/step | elapsed 3.3m | time left 6.7m
step=1290 | loss=4.9302 | lr=5.25e-04 | tok/s=560286 | 117ms/step | elapsed 3.3m | time left 6.7m
step=1300 | loss=4.9587 | lr=5.24e-04 | tok/s=519389 | 126ms/step | elapsed 3.3m | time left 6.7m
