Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[data] 50 shard(s), 5,000,000,000 tokens total
step=1070 | loss=4.0680 | lr=5.49e-04 | tok/s=10852 | 6039ms/step | elapsed 113.7m | time left 86.3m
step=1080 | loss=4.0778 | lr=5.48e-04 | tok/s=11301 | 5799ms/step | elapsed 114.7m | time left 85.3m
step=1090 | loss=4.0722 | lr=5.47e-04 | tok/s=11100 | 5904ms/step | elapsed 115.8m | time left 84.2m
step=1100 | loss=3.9839 | lr=5.46e-04 | tok/s=10993 | 5962ms/step | elapsed 116.8m | time left 83.2m
step=1110 | loss=4.1387 | lr=5.45e-04 | tok/s=10827 | 6053ms/step | elapsed 117.9m | time left 82.1m
step=1120 | loss=4.0933 | lr=5.44e-04 | tok/s=8410 | 7792ms/step | elapsed 119.0m | time left 81.0m
step=1130 | loss=4.1333 | lr=5.43e-04 | tok/s=8618 | 7605ms/step | elapsed 120.0m | time left 80.0m
step=1140 | loss=4.0641 | lr=5.42e-04 | tok/s=10832 | 6050ms/step | elapsed 121.1m | time left 78.9m
step=1150 | loss=4.0295 | lr=5.41e-04 | tok/s=11052 | 5930ms/step | elapsed 122.1m | time left 77.9m
step=1160 | loss=4.0305 | lr=5.40e-04 | tok/s=8517 | 7695ms/step | elapsed 123.2m | time left 76.8m
step=1170 | loss=4.0351 | lr=5.39e-04 | tok/s=8339 | 7859ms/step | elapsed 124.3m | time left 75.7m
step=1180 | loss=3.9840 | lr=5.38e-04 | tok/s=10944 | 5989ms/step | elapsed 125.3m | time left 74.7m
step=1190 | loss=4.0217 | lr=5.37e-04 | tok/s=11061 | 5925ms/step | elapsed 126.3m | time left 73.7m
step=1200 | loss=3.9293 | lr=5.36e-04 | tok/s=10878 | 6025ms/step | elapsed 127.4m | time left 72.6m
step=1210 | loss=3.9620 | lr=5.34e-04 | tok/s=10809 | 6063ms/step | elapsed 128.5m | time left 71.5m
step=1220 | loss=4.0165 | lr=5.33e-04 | tok/s=10817 | 6059ms/step | elapsed 129.5m | time left 70.5m
step=1230 | loss=3.9999 | lr=5.32e-04 | tok/s=8812 | 7437ms/step | elapsed 130.6m | time left 69.4m
step=1240 | loss=3.9978 | lr=5.31e-04 | tok/s=8450 | 7756ms/step | elapsed 131.6m | time left 68.4m
step=1250 | loss=3.9902 | lr=5.30e-04 | tok/s=10789 | 6074ms/step | elapsed 132.7m | time left 67.3m
step=1260 | loss=3.9366 | lr=5.29e-04 | tok/s=10791 | 6073ms/step | elapsed 133.7m | time left 66.3m
step=1270 | loss=3.9078 | lr=5.28e-04 | tok/s=10576 | 6197ms/step | elapsed 134.8m | time left 65.2m
step=1280 | loss=3.9410 | lr=5.26e-04 | tok/s=11010 | 5952ms/step | elapsed 135.9m | time left 64.1m
step=1290 | loss=3.9127 | lr=5.25e-04 | tok/s=10793 | 6072ms/step | elapsed 136.9m | time left 63.1m
step=1300 | loss=3.8872 | lr=5.24e-04 | tok/s=10823 | 6055ms/step | elapsed 138.0m | time left 62.0m
step=1310 | loss=3.9240 | lr=5.23e-04 | tok/s=10893 | 6016ms/step | elapsed 139.0m | time left 61.0m
step=1320 | loss=3.8630 | lr=5.22e-04 | tok/s=8903 | 7361ms/step | elapsed 140.1m | time left 59.9m
step=1330 | loss=3.8267 | lr=5.20e-04 | tok/s=10828 | 6053ms/step | elapsed 141.1m | time left 58.9m
step=1340 | loss=3.9648 | lr=5.19e-04 | tok/s=10732 | 6107ms/step | elapsed 142.2m | time left 57.8m
step=1350 | loss=3.9865 | lr=5.18e-04 | tok/s=10741 | 6101ms/step | elapsed 143.3m | time left 56.7m
step=1360 | loss=3.9277 | lr=5.17e-04 | tok/s=10654 | 6151ms/step | elapsed 144.3m | time left 55.7m
step=1370 | loss=3.9634 | lr=5.15e-04 | tok/s=8655 | 7572ms/step | elapsed 145.4m | time left 54.6m
step=1380 | loss=3.9014 | lr=5.14e-04 | tok/s=8565 | 7652ms/step | elapsed 146.4m | time left 53.6m
step=1390 | loss=3.8428 | lr=5.13e-04 | tok/s=10744 | 6100ms/step | elapsed 147.5m | time left 52.5m
step=1400 | loss=3.8386 | lr=5.12e-04 | tok/s=11174 | 5865ms/step | elapsed 148.5m | time left 51.5m
step=1410 | loss=3.9392 | lr=5.10e-04 | tok/s=11316 | 5792ms/step | elapsed 149.6m | time left 50.4m
step=1420 | loss=3.8522 | lr=5.09e-04 | tok/s=10989 | 5964ms/step | elapsed 150.6m | time left 49.4m
step=1430 | loss=3.9492 | lr=5.08e-04 | tok/s=10724 | 6111ms/step | elapsed 151.7m | time left 48.3m
step=1440 | loss=3.8798 | lr=5.06e-04 | tok/s=10776 | 6082ms/step | elapsed 152.8m | time left 47.2m
step=1450 | loss=3.8560 | lr=5.05e-04 | tok/s=8466 | 7741ms/step | elapsed 153.8m | time left 46.2m
step=1460 | loss=3.8824 | lr=5.04e-04 | tok/s=10516 | 6232ms/step | elapsed 154.9m | time left 45.1m
step=1470 | loss=3.9041 | lr=5.02e-04 | tok/s=10835 | 6049ms/step | elapsed 155.9m | time left 44.1m
step=1480 | loss=3.9437 | lr=5.01e-04 | tok/s=10790 | 6074ms/step | elapsed 157.0m | time left 43.0m
step=1490 | loss=3.8936 | lr=5.00e-04 | tok/s=11065 | 5923ms/step | elapsed 158.0m | time left 42.0m
step=1500 | loss=3.8136 | lr=4.98e-04 | tok/s=10784 | 6077ms/step | elapsed 159.1m | time left 40.9m
step=1510 | loss=3.8598 | lr=4.97e-04 | tok/s=10877 | 6025ms/step | elapsed 160.2m | time left 39.8m
step=1520 | loss=3.8984 | lr=4.96e-04 | tok/s=10922 | 6000ms/step | elapsed 161.2m | time left 38.8m
step=1530 | loss=3.8486 | lr=4.94e-04 | tok/s=8848 | 7407ms/step | elapsed 162.3m | time left 37.7m
step=1540 | loss=3.7903 | lr=4.93e-04 | tok/s=8623 | 7600ms/step | elapsed 163.3m | time left 36.7m
step=1550 | loss=3.8212 | lr=4.91e-04 | tok/s=10670 | 6142ms/step | elapsed 164.4m | time left 35.6m
step=1560 | loss=3.8202 | lr=4.90e-04 | tok/s=10792 | 6073ms/step | elapsed 165.4m | time left 34.6m
step=1570 | loss=3.8462 | lr=4.89e-04 | tok/s=10955 | 5982ms/step | elapsed 166.5m | time left 33.5m
step=1580 | loss=3.7994 | lr=4.87e-04 | tok/s=11065 | 5923ms/step | elapsed 167.6m | time left 32.4m
step=1590 | loss=3.8405 | lr=4.86e-04 | tok/s=10871 | 6029ms/step | elapsed 168.6m | time left 31.4m
step=1600 | loss=3.8795 | lr=4.84e-04 | tok/s=10624 | 6169ms/step | elapsed 169.7m | time left 30.3m
step=1610 | loss=3.8796 | lr=4.83e-04 | tok/s=8041 | 8150ms/step | elapsed 170.7m | time left 29.3m
step=1620 | loss=3.7583 | lr=4.82e-04 | tok/s=10983 | 5967ms/step | elapsed 171.8m | time left 28.2m
step=1630 | loss=3.7998 | lr=4.80e-04 | tok/s=11069 | 5921ms/step | elapsed 172.8m | time left 27.2m
step=1640 | loss=3.8324 | lr=4.79e-04 | tok/s=10779 | 6080ms/step | elapsed 173.9m | time left 26.1m
step=1650 | loss=3.8460 | lr=4.77e-04 | tok/s=8954 | 7319ms/step | elapsed 175.0m | time left 25.0m
step=1660 | loss=3.9063 | lr=4.76e-04 | tok/s=8821 | 7430ms/step | elapsed 176.0m | time left 24.0m
step=1670 | loss=3.8643 | lr=4.74e-04 | tok/s=10428 | 6285ms/step | elapsed 177.1m | time left 22.9m
step=1680 | loss=3.8299 | lr=4.73e-04 | tok/s=10646 | 6156ms/step | elapsed 178.1m | time left 21.9m
step=1690 | loss=3.8013 | lr=4.71e-04 | tok/s=10592 | 6187ms/step | elapsed 179.2m | time left 20.8m
step=1700 | loss=3.8167 | lr=4.70e-04 | tok/s=10579 | 6195ms/step | elapsed 180.2m | time left 19.8m
step=1710 | loss=3.8190 | lr=4.68e-04 | tok/s=10790 | 6074ms/step | elapsed 181.3m | time left 18.7m
step=1720 | loss=3.7737 | lr=4.67e-04 | tok/s=10720 | 6113ms/step | elapsed 182.3m | time left 17.7m
step=1730 | loss=3.8049 | lr=4.65e-04 | tok/s=10585 | 6192ms/step | elapsed 183.4m | time left 16.6m
step=1740 | loss=3.8437 | lr=4.64e-04 | tok/s=10801 | 6068ms/step | elapsed 184.5m | time left 15.5m
step=1750 | loss=3.6868 | lr=4.62e-04 | tok/s=8766 | 7476ms/step | elapsed 185.5m | time left 14.5m
step=1760 | loss=3.8114 | lr=4.61e-04 | tok/s=10650 | 6154ms/step | elapsed 186.5m | time left 13.5m
step=1770 | loss=3.7733 | lr=4.59e-04 | tok/s=10876 | 6026ms/step | elapsed 187.6m | time left 12.4m
step=1780 | loss=3.7210 | lr=4.58e-04 | tok/s=10793 | 6072ms/step | elapsed 188.7m | time left 11.3m
step=1790 | loss=3.7446 | lr=4.56e-04 | tok/s=10732 | 6106ms/step | elapsed 189.7m | time left 10.3m
step=1800 | loss=3.7315 | lr=4.55e-04 | tok/s=10970 | 5974ms/step | elapsed 190.8m | time left 9.2m
step=1810 | loss=3.7885 | lr=4.53e-04 | tok/s=11169 | 5867ms/step | elapsed 191.8m | time left 8.2m
step=1820 | loss=3.8463 | lr=4.52e-04 | tok/s=10672 | 6141ms/step | elapsed 192.9m | time left 7.1m
step=1830 | loss=3.7814 | lr=4.50e-04 | tok/s=8479 | 7729ms/step | elapsed 194.0m | time left 6.0m
step=1840 | loss=3.7951 | lr=4.49e-04 | tok/s=8552 | 7664ms/step | elapsed 195.0m | time left 5.0m
step=1850 | loss=3.7231 | lr=4.47e-04 | tok/s=10695 | 6128ms/step | elapsed 196.1m | time left 3.9m
step=1860 | loss=3.7421 | lr=4.46e-04 | tok/s=10569 | 6201ms/step | elapsed 197.1m | time left 2.9m
step=1870 | loss=3.7680 | lr=4.44e-04 | tok/s=10960 | 5979ms/step | elapsed 198.2m | time left 1.8m
step=1880 | loss=3.6799 | lr=4.42e-04 | tok/s=10672 | 6141ms/step | elapsed 199.3m | time left 0.7m

[time] 200.1 min elapsed — time limit reached.
[ckpt] saved → checkpoint.pt  (step 1888)
